File,,Mean_4,Mean_5,Mean_6,Mean_7,Mean_10,Mean_11,Mean_12,Mean_13,Mean_14,Mean_15,Mean_16,Mean_17,Mean_18,Mean_24,Mean_26,Mean_28,Mean_30,Mean_43,Mean_44,Mean_45,Mean_46,Mean_49,Mean_50,Mean_51,Mean_52,Mean_53,Mean_54,Mean_58,Mean_60,Mean_85,Mean_91,Mean_92,Mean_630,Mean_631,Mean_632,Mean_1002,Mean_1003,Mean_1005,Mean_1006,Mean_1007,Mean_1008,Mean_1009,Mean_1010,Mean_1011,Mean_1012,Mean_1013,Mean_1014,Mean_1015,Mean_1016,Mean_1017,Mean_1018,Mean_1019,Mean_1020,Mean_1021,Mean_1022,Mean_1023,Mean_1024,Mean_1025,Mean_1026,Mean_1027,Mean_1028,Mean_1029,Mean_1030,Mean_1031,Mean_1034,Mean_1035,Mean_2002,Mean_2003,Mean_2005,Mean_2006,Mean_2007,Mean_2008,Mean_2009,Mean_2010,Mean_2011,Mean_2012,Mean_2013,Mean_2014,Mean_2015,Mean_2016,Mean_2017,Mean_2018,Mean_2019,Mean_2020,Mean_2021,Mean_2022,Mean_2023,Mean_2024,Mean_2025,Mean_2026,Mean_2027,Mean_2028,Mean_2029,Mean_2030,Mean_2031,Mean_2034,Mean_2035
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051464_anat_thickness.nii.gz,Caltech_0051464,0.013656,1.236781,0.103549,0.000141,0.001961,0,0,0,0,0,0.000476,2.556201,5.107208,0,0,0.025429,0,0.008992,0.539289,0.094999,0.000021,0.001089,0,0.000014,0,2.636498,5.370337,0,0.014565,0,0.009025,0,0.001475,0.000014,0,3.700731,2.178211,1.596605,4.570598,4.232904,2.911253,4.251272,3.107219,2.855897,3.572115,1.853921,3.698286,4.244572,2.997925,1.589144,1.971355,2.408456,2.184654,1.590423,1.11704,3.232376,1.290649,2.261114,5.08387,2.938408,2.285814,1.220876,2.759036,2.471393,2.239469,3.911688,2.985076,1.772686,2.206161,4.413066,4.428806,3.325589,4.876599,3.597365,2.261706,3.555893,2.053344,3.864665,4.009954,3.125412,1.371708,2.397629,2.821089,2.038772,2.433668,1.565098,3.722635,1.093953,2.883538,3.67302,3.294185,2.397663,0.90517,2.791522,2.277689,2.449618,4.190481
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051465_anat_thickness.nii.gz,Caltech_0051465,0.003104,0.288247,0.090144,0,0.005511,0,0.000005,0,0,0,0.000044,2.153412,4.290298,0,0,0.021197,0,0.001075,0.369673,0.082674,0,0.003781,0,0.000006,0,2.128414,4.57887,0,0.02476,0,0.021215,0,0.004699,0,0,3.534546,2.009823,1.244277,3.89535,2.620117,2.342773,2.953192,2.764748,1.911375,3.009025,1.65507,2.524837,2.971935,1.614453,1.538832,2.016236,2.212413,2.312949,0.855174,1.662334,2.965772,1.717117,2.647146,4.004474,2.511749,2.213683,1.509056,2.595562,2.159377,1.473782,3.600168,3.264663,1.971556,1.581732,3.798428,2.707702,2.430694,3.318701,2.871167,2.031004,2.756829,2.0835,3.295539,3.083591,2.197119,1.345761,2.0202,2.159141,2.14316,1.158669,1.547684,3.068151,1.570532,2.395171,3.537851,2.455733,2.48288,1.31465,2.576204,1.972289,1.524621,3.584741
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051466_anat_thickness.nii.gz,Caltech_0051466,0.009563,0.796461,0.12286,0,0.002183,0,0,0.000031,0,0,0.000001,2.383914,4.431404,0,0,0.013732,0,0.008041,0.260762,0.082453,0,0.001633,0,0,0,2.509966,4.484848,0,0.01361,0,0.006683,0.000168,0.002174,0.000854,0,2.545715,1.677621,1.040499,3.00426,3.080652,1.893966,3.074167,2.559506,2.246233,2.100254,1.788858,2.470013,2.852339,2.128703,1.105622,1.90162,1.663631,1.762728,0.96146,1.228725,2.311329,1.222117,1.889775,3.797924,1.948254,1.625768,1.118995,1.896868,1.998897,1.554828,3.109345,3.153634,1.59784,0.893005,2.524886,3.01616,2.318519,3.096755,2.763861,1.840862,2.510839,1.937161,3.022287,2.881178,2.276581,0.918428,1.827607,1.778188,1.966458,0.936908,1.169109,2.870785,1.101008,2.259236,3.427267,2.060695,1.891235,1.077554,1.869755,2.10312,1.378504,3.201503
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051467_anat_thickness.nii.gz,Caltech_0051467,0.008717,2.101969,0.131213,0.000214,0.001957,0,0,0,0,0,0.000376,2.609392,4.719115,0,0,0.023132,0,0.007012,0.524462,0.131025,0.000036,0.001697,0,0,0,2.745293,4.852104,0.000521,0.034248,0,0.013275,0,0.006755,0.000092,0,3.068736,2.107268,0.971254,3.831748,3.130614,2.065734,3.390556,3.162876,2.493272,2.727013,1.982543,2.910324,3.635628,2.80373,1.224556,2.319977,2.488524,2.721287,0.742101,1.268862,2.775983,1.623068,2.060756,4.458918,2.936802,2.567625,1.309918,2.511286,2.159351,2.034905,4.006896,3.603368,2.037697,1.240904,3.187531,3.504336,2.664529,3.528086,3.14186,2.257063,2.971565,2.506425,2.945564,3.146481,2.70497,1.21639,2.382596,2.728241,2.851272,1.164738,1.167254,3.1826,1.508525,2.080181,3.782369,2.959002,2.498844,1.181735,2.223201,2.204333,1.337715,4.006344
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051468_anat_thickness.nii.gz,Caltech_0051468,0.0067,0.904133,0.108089,0,0.00156,0,0,0,0,0,0,2.435261,4.188397,0,0,0.016112,0,0.002292,0.804891,0.091406,0,0.001267,0,0.00009,0,2.607064,4.678026,0,0.026764,0,0.014273,0,0.001005,0,0,3.904319,1.595527,1.733175,4.288967,3.554134,2.529151,4.00243,3.088059,2.344741,3.180238,2.149972,3.460931,3.344115,2.660798,1.153229,1.801441,2.233711,1.996681,1.113474,0.946008,3.322004,1.139243,1.963108,4.73575,2.195353,1.71349,0.956265,2.195572,1.916539,2.716383,4.205158,3.487662,1.433493,1.567832,3.57596,3.752592,2.680813,4.009988,3.028491,2.242805,3.210016,2.019284,3.888708,3.45708,2.22219,0.879458,2.066343,3.030006,1.969046,1.171786,1.149983,3.201182,1.161072,2.30561,4.499509,2.400389,1.727833,0.879771,2.053184,1.999571,2.185243,4.362996
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051469_anat_thickness.nii.gz,Caltech_0051469,0.007655,0.807955,0.129872,0.000157,0.001242,0,0,0,0,0,0.00075,2.275762,4.812729,0,0,0.016876,0,0.002608,0.867944,0.07289,0.000016,0.001801,0,0,0,2.552593,4.995603,0.000573,0.012642,0,0.008038,0,0.004764,0.000201,0,2.715556,1.353283,1.249231,4.067717,2.76866,1.365609,2.772664,2.268557,1.375232,2.069533,1.846828,2.256111,2.456581,2.483184,1.00905,1.712904,1.616684,1.690897,1.144032,0.820738,2.65842,0.988701,1.894795,3.812246,1.817562,1.474354,0.870195,1.791324,1.557409,1.453698,2.826101,2.873944,1.328174,1.694613,3.703849,2.604511,2.084788,2.833111,2.381603,1.532264,2.470136,1.977447,2.728538,2.784288,2.383433,0.980849,1.672198,2.212264,1.88932,1.176736,0.910092,2.752735,0.848381,1.873305,3.434451,1.805902,1.543475,0.827761,1.852554,1.62487,1.264417,3.060084
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051470_anat_thickness.nii.gz,Caltech_0051470,0.017211,1.648632,0.078697,0.000018,0.002232,0,0,0,0,0,0.00017,2.808853,5.279622,0,0,0.024347,0,0.039288,0.418279,0.03993,0,0.001989,0,0,0,2.66471,4.930546,0.001873,0.016633,0,0.015166,0,0.001289,0,0,3.332941,1.792636,1.237263,3.305328,2.829591,2.790644,3.215156,2.891778,2.382596,2.756631,1.618454,2.834991,3.463912,2.208633,1.171501,2.072702,2.356977,2.242486,0.87075,1.186114,2.695878,1.431474,2.221107,3.872948,2.599845,2.022441,1.361442,2.526579,2.180017,1.847289,3.770637,2.498531,1.528277,1.589992,3.344964,2.92471,3.048289,3.257741,2.887409,2.099126,2.693715,1.770263,2.795492,3.409063,2.48658,1.18821,2.006688,2.770328,2.484542,1.222289,1.164596,2.717899,1.419217,2.272179,3.788569,2.519192,2.137188,1.23163,2.468955,2.046615,1.886519,4.073275
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051471_anat_thickness.nii.gz,Caltech_0051471,0.016611,1.332841,0.072032,0.000005,0.001351,0,0,0,0,0,0.000119,2.146891,3.649299,0,0,0.019255,0,0.026513,0.680205,0.054689,0.000011,0.001143,0,0,0,2.303252,3.779768,0.000829,0.022835,0,0.010897,0.000322,0.004585,0.000038,0,3.931386,2.270582,1.381659,2.529835,2.620262,2.751833,2.548348,2.781573,2.469978,2.603763,1.997856,2.769826,3.077069,2.620826,1.676033,2.583306,2.394562,2.213799,1.354808,1.701907,3.007927,1.956638,2.580597,4.190939,2.705157,2.528079,1.96852,2.658074,2.494859,2.831761,4.203927,3.37362,2.462727,1.791526,2.350683,3.114008,3.239866,2.75608,2.430443,2.347512,2.702013,2.11407,2.68348,3.038154,2.527885,1.791991,2.174876,2.416992,2.623944,1.673371,1.721976,3.102068,2.344736,2.206728,3.770802,3.18433,2.592884,1.573905,2.510358,2.238037,2.232234,4.229111
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051472_anat_thickness.nii.gz,Caltech_0051472,0.010034,0.779522,0.082987,0.000011,0.003296,0,0,0,0,0,0.000002,2.608966,5.743259,0,0,0.033127,0,0.006618,0.366115,0.067632,0,0.002382,0,0,0,2.446244,4.373052,0,0.007655,0,0.020045,0,0.001579,0.00003,0,3.554177,1.715986,1.338774,3.989981,3.21958,2.356741,3.686945,3.246268,2.063417,3.219548,1.700539,3.874815,3.146101,2.503911,1.265328,1.903323,1.745088,1.64836,1.391802,1.143745,2.919201,1.176988,2.35866,5.431696,2.245286,2.101511,1.113932,2.104719,1.895332,2.117527,4.148608,3.387401,1.536355,1.544746,3.714072,3.73203,2.321309,3.305671,3.334882,2.088673,3.480487,2.138593,3.949387,3.299085,2.48494,1.09811,2.055428,2.594923,1.910101,1.547829,0.982572,3.477789,1.192761,2.452232,4.359266,2.509764,1.957067,1.089875,1.934671,1.931111,1.776705,4.451701
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051473_anat_thickness.nii.gz,Caltech_0051473,0.017085,0.794905,0.112814,0,0.003304,0,0,0,0,0,0.00019,2.421637,4.400638,0,0,0.025015,0,0.004991,0.70386,0.087615,0.000006,0.003217,0,0.000026,0,2.505821,4.431587,0.000186,0.019347,0,0.015936,0,0.000336,0.000064,0,2.847217,2.240118,1.305172,3.233002,3.692534,2.436668,3.159445,2.973042,2.298017,2.597666,2.037587,2.843252,3.516767,2.466576,1.805301,2.276787,2.430275,2.387004,1.229697,1.326837,2.782184,1.472518,2.263547,3.997672,3.064008,2.834156,1.446471,2.713122,2.493916,2.55473,3.538573,2.028841,2.495128,1.409339,2.948957,3.591927,2.998305,3.18131,3.163938,2.523145,2.523157,2.269302,2.868585,3.231918,2.6235,1.521352,2.174505,2.547375,2.67376,1.431041,1.285221,2.618144,1.412954,2.376879,3.827575,3.038714,2.554522,1.408461,2.209281,2.355511,2.021928,4.153728
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051474_anat_thickness.nii.gz,Caltech_0051474,0.019995,1.126783,0.169138,0.000117,0.003391,0,0,0,0,0,0.000485,2.995546,5.55214,0,0,0.047818,0,0.021941,0.667828,0.162724,0.000064,0.004427,0,0,0,2.877988,5.205566,0,0.035799,0,0.003232,0.002485,0.006804,0.000493,0,3.604601,2.270765,1.427715,4.075494,3.441626,2.501864,3.463441,2.964047,2.74026,2.727679,2.469411,3.284568,3.40369,3.118541,1.588597,2.41777,2.593824,2.816079,1.370297,1.715527,3.066346,1.79722,2.431127,4.85721,2.740744,2.571861,1.610609,2.671427,2.535667,2.586967,3.785063,3.454423,2.31685,1.754135,3.475755,3.784937,2.834918,3.399628,3.076131,2.329862,2.734057,2.708843,3.200044,3.074622,3.237783,1.640122,2.355668,2.522082,2.411581,1.79514,1.612252,3.305205,1.941796,2.755169,4.003652,2.949041,2.729432,1.508954,2.465435,2.249256,2.499021,4.598802
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051475_anat_thickness.nii.gz,Caltech_0051475,0.017474,1.824956,0.09037,0.000087,0.001165,0,0,0,0,0,0.000205,2.306733,4.044685,0,0,0.019072,0,0.021041,1.017452,0.077404,0,0.001658,0,0,0,2.452331,4.92573,0,0.02226,0,0.007228,0,0.001067,0.000093,0,2.758626,1.553621,0.708273,3.445473,3.090432,2.174771,3.011267,2.471584,1.545981,2.357861,1.067641,2.429971,2.916753,2.540525,0.748648,2.064446,1.74727,1.939987,0.649222,0.815528,2.278708,1.082459,1.67405,3.530684,2.202343,1.535662,0.933438,2.160186,1.892779,2.374879,3.441111,2.462702,1.660202,1.273502,3.663872,3.208394,2.221701,3.044732,2.672256,1.651041,2.60029,2.280245,2.351698,2.936078,2.729117,0.771377,1.737163,2.37906,1.740157,1.441065,1.069502,2.291348,1.084899,2.123512,3.356739,2.296797,1.583365,0.973421,2.08372,1.898454,1.859053,3.703759
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051476_anat_thickness.nii.gz,Caltech_0051476,0.004058,0.949901,0.081462,0.000818,0.002192,0,0,0,0,0,0.001099,2.326688,5.31379,0,0,0.014285,0,0.001799,0.732336,0.075804,0.000029,0.001907,0,0,0,2.308676,4.979948,0,0.011062,0,0.011894,0.000434,0.000966,0,0,2.854681,1.427069,1.594687,4.473438,2.938829,1.435472,2.802602,2.384518,1.647988,2.638852,1.799505,2.831688,3.18246,2.748997,0.887014,2.112027,2.165513,2.216835,0.712291,1.033001,2.539031,1.135648,1.585514,4.200346,2.39301,1.659066,0.703903,2.107612,1.814092,1.742178,3.507897,2.806089,1.332175,0.862472,4.603193,3.041099,1.74267,3.013371,2.439294,1.64586,2.685363,1.85609,2.89528,2.747852,2.40498,1.044854,1.885207,2.454855,1.816703,0.979975,0.893047,2.971226,0.829552,2.035877,3.532807,2.386308,1.617052,0.755473,1.956788,1.553098,1.587247,3.654833
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051477_anat_thickness.nii.gz,Caltech_0051477,0.033303,1.516014,0.130345,0.000035,0.001657,0.000002,0,0,0,0,0.000181,2.540172,4.526597,0,0,0.024881,0,0.050733,2.002043,0.107684,0,0.001261,0,0.000044,0,2.638722,5.118706,0,0.029758,0,0.014263,0.000369,0.001371,0.000008,0,2.758088,1.466549,1.131782,3.511795,2.950123,2.232186,2.560939,2.241634,1.936577,2.279532,1.628521,2.448307,3.309567,2.271061,0.927833,1.862676,1.877425,1.901392,0.776887,1.309869,2.304138,1.175234,1.850168,3.560158,2.347808,1.723399,1.201809,2.474264,2.065573,1.626059,3.193856,2.939691,1.616157,1.082659,3.640935,2.695579,2.374009,3.001284,2.501879,1.967652,2.236149,2.143159,2.477422,2.894262,2.140932,0.908941,1.890951,2.099855,2.113393,1.416788,1.4209,2.363288,1.182825,2.103214,3.468261,2.70602,1.801569,1.123805,2.348828,2.159862,1.552088,3.418948
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051478_anat_thickness.nii.gz,Caltech_0051478,0.032252,1.743202,0.130823,0.000027,0.00205,0,0,0,0,0,0.00004,2.701324,5.101766,0,0.000022,0.017696,0,0.017833,0.718006,0.089575,0.000009,0.0023,0,0.00004,0,2.68511,5.123229,0,0.016984,0,0.003639,0,0.003006,0.000082,0,2.941441,2.013594,0.92977,3.62474,3.324706,2.438204,3.348238,2.885598,2.005191,2.416626,1.828522,2.975915,3.022629,3.006665,1.048468,2.259816,2.339546,2.2208,0.804261,1.198557,2.82285,1.377775,1.629832,4.940788,2.887261,2.226201,0.933105,2.394417,2.336062,2.192606,3.91307,2.471559,1.877788,1.346942,3.18606,3.048626,2.50907,2.952505,2.75605,2.10378,2.588869,1.893343,3.01419,2.916374,2.909184,1.126535,2.030109,2.528757,2.159156,0.998298,1.332348,2.530907,1.363725,1.856938,3.699501,2.742411,2.258843,1.091569,2.297315,2.133742,2.010806,3.916593
