"ANTS_roi","FS51_roi","r_value","p_value"
"L.cauantCG","L.isthCG",0.0755293031625845,0.0121796312478961
"L.cauantCG","L.parsTRI",0.137981466852642,4.32328699899591e-06
"L.cauantCG","R.infT",0.122867784422913,4.35517751720431e-05
"L.cauantCG","R.latorbF",0.237677584519007,1.3244755715237e-15
"L.cauantCG","L.rosmidF",0.144378222512694,1.50596347629748e-06
"L.cauantCG","L.supF",0.229391493572149,1.29978497337461e-14
"L.cauantCG","R.cauantCG",0.202935648954495,1.06918423018496e-11
"L.cauantCG","L.LG",-0.0687942035439936,0.0224424829213131
"L.cauantCG","R.isthCG",0.134215560831915,7.87246534808142e-06
"L.cauantCG","L.medorbF",0.141910634471473,2.27438500887803e-06
"L.cauantCG","R.SM",0.143896815269022,1.63297774560835e-06
"L.cauantCG","L.supT",0.165824566403037,3.123199571737e-08
"L.cauantCG","R.midT",0.113654429930576,0.000157350938390565
"L.cauantCG","L.postCEN",0.0575369054893372,0.0563184831398464
"L.cauantCG","R.latO",-0.0502111712336856,0.095866710329775
"L.cauantCG","R.parOP",0.251010112189626,2.78822825799973e-17
"L.cauantCG","L.paraCEN",0.116032010897789,0.000113962724345554
"L.cauantCG","R.parsTRI",0.215600884715668,4.79444597841786e-13
"L.cauantCG","R.medorbF",0.231911600861024,6.55020389124362e-15
"L.cauantCG","R.CN",-0.00775270304331007,0.797212298640614
"L.cauantCG","L.INS",0.25235618558592,1.86395140255688e-17
"L.parsORB","L.cauantCG",-0.0807964898262869,0.00731233078559944
"L.parsORB","L.parsORB",0.464245919756601,6.08990954967113e-60
"L.parsORB","R.parsORB",0.397162859238969,6.50784822680684e-43
"L.parsORB","L.preCN",0.11500438382849,0.000131113329510792
"L.parsORB","R.ENT",0.340709652811756,2.50667591445852e-31
"L.parsORB","L.CN",-0.0672083527471133,0.0257440931415458
"L.parsORB","R.periCAL",-0.0652793804885072,0.0303183680084615
"L.parsORB","L.rosantCG",0.148094293591715,7.98959600197058e-07
"L.parsORB","L.caumidF",0.207648045036576,3.44681017299502e-12
"L.parsORB","R.rosantCG",0.135531766266046,6.39615898943072e-06
"L.parsORB","L.latO",-0.00383500063372284,0.898856262147074
"L.parsORB","L.FUS",0.292113104346554,4.2310789398302e-23
"L.parsORB","R.LG",0.105464891664087,0.00045614634209957
"L.parsORB","R.postCEN",0.161282639032183,7.41741039245626e-08
"L.parsORB","L.periCAL",-0.121333132963905,5.42912442922857e-05
"L.parsORB","L.SM",0.287774276085604,1.94253179000525e-22
"L.parsORB","L.parOP",0.39077756970075,1.74459117050893e-41
"L.parsORB","L.supP",0.0960542735837231,0.00141797016217941
"L.parsORB","R.posCG",0.0317576341123216,0.292419470230839
"L.parsORB","L.ENT",0.370855812212703,3.16161187736197e-37
"L.parsORB","R.FUS",0.305568062718315,3.16105919615061e-25
"L.parsORB","R.supP",0.136757487994331,5.26224641292419e-06
"L.parsORB","R.supT",0.433167232968161,1.41781432703068e-51
"L.parsORB","R.rosmidF",0.276190570127167,9.99042640392454e-21
"L.parsORB","R.preCEN",0.280691655049247,2.20932886758754e-21
"L.parsORB","L.latorbF",0.406580814065385,4.45566957085071e-45
"L.parsORB","L.transT",0.301891641055355,1.23627825666818e-24
"L.parsORB","L.posCG",-0.0359945177148195,0.232722292223143
"L.parsORB","R.transT",0.316581884395299,4.7229804584857e-27
"L.parsORB","R.preCN",0.143807716916052,1.65758663441001e-06
"L.parsORB","L.preCEN",0.273964008687413,2.08583038446904e-20
"L.parsORB","L.infP",0.237753295628971,1.29659747294234e-15
"L.parsORB","R.infP",0.22527125956293,3.91660076077184e-14
"L.parsORB","R.INS",0.174791052781397,5.27648642154464e-09
"L.parsORB","R.caumidF",0.235768250828933,2.25930396268809e-15
"L.parsORB","R.paraCEN",0.22340853487008,6.40349072152619e-14
"L.parsORB","L.infT",0.32576189802192,1.23849682870367e-28
"L.parsORB","R.supF",0.280843570055331,2.09860470184474e-21
"L.parsORB","L.paraH",0.225546694475944,3.64063538805422e-14
"L.parsORB","L.midT",0.366659588921824,2.28865780130036e-36
"L.parsORB","R.paraH",0.290243216078138,8.18705478787355e-23
"L.parsORB","L.isthCG",-0.0325981318026196,0.279827208835121
"L.parsORB","L.parsTRI",0.42297312260467,5.15285905117428e-49
"L.parsORB","R.infT",0.306391654355591,2.3226466596483e-25
"L.parsORB","R.latorbF",0.378264788528363,8.92719683835019e-39
"L.parsORB","L.rosmidF",0.272093435229595,3.85107757941212e-20
"L.parsORB","L.supF",0.250193690513602,3.55549741805221e-17
"L.parsORB","R.cauantCG",-0.0166795367218954,0.580360082073473
"L.parsORB","L.LG",0.0717630241116501,0.0172395718855661
"L.parsORB","R.isthCG",-0.0208405162177867,0.489687871461254
"L.parsORB","L.medorbF",0.269022459114325,1.04300994650553e-19
"L.parsORB","R.SM",0.276362393240994,9.4360547263995e-21
"L.parsORB","L.supT",0.436636658346631,1.81985194246463e-52
"L.parsORB","R.midT",0.343486633401246,7.62256396234442e-32
"L.parsORB","L.postCEN",0.136372297968491,5.59606132840796e-06
"L.parsORB","R.latO",0.0167318890220776,0.579172163773428
"L.parsORB","R.parOP",0.372836783678563,1.22922470561263e-37
"L.parsORB","L.paraCEN",0.168498772199538,1.85588589007152e-08
"L.parsORB","R.parsTRI",0.40985827052255,7.57164685797426e-46
"L.parsORB","R.medorbF",0.251061556896298,2.74576409072616e-17
"L.parsORB","R.CN",0.00821852869426504,0.785317192455218
"L.parsORB","L.INS",0.229800788464411,1.16352039849996e-14
"R.parsORB","L.cauantCG",-0.0607592881801219,0.043837036116227
"R.parsORB","L.parsORB",0.432490563036363,2.11011948719952e-51
"R.parsORB","R.parsORB",0.462107133897258,2.44658745788354e-59
"R.parsORB","L.preCN",0.0934186455535453,0.00191556198929289
"R.parsORB","R.ENT",0.314079216201912,1.24696093822577e-26
"R.parsORB","L.CN",-0.0400509811032438,0.184188786676437
"R.parsORB","R.periCAL",-0.046998360320012,0.119101155591546
"R.parsORB","L.rosantCG",0.145422725138468,1.26218757581474e-06
"R.parsORB","L.caumidF",0.234603113643998,3.12253226805584e-15
"R.parsORB","R.rosantCG",0.0947308495402279,0.00165066137822106
"R.parsORB","L.latO",-0.0147452226039735,0.625028082178772
"R.parsORB","L.FUS",0.267770015577825,1.56013821424363e-19
"R.parsORB","R.LG",0.0906962675274419,0.00259350311859631
"R.parsORB","R.postCEN",0.152225663429173,3.87671086922248e-07
"R.parsORB","L.periCAL",-0.0678069356394635,0.0244516265229095
"R.parsORB","L.SM",0.26443660802765,4.50928348333482e-19
"R.parsORB","L.parOP",0.356791204268158,2.1457502726089e-34
"R.parsORB","L.supP",0.103243933128942,0.000601247521284498
"R.parsORB","R.posCG",0.0233690672812207,0.438551544770414
"R.parsORB","L.ENT",0.341124063802798,2.10028918756413e-31
"R.parsORB","R.FUS",0.262653760867278,7.90627028913123e-19
"R.parsORB","R.supP",0.116947320614973,0.000100487578713626
"R.parsORB","R.supT",0.413762646229318,8.93246997794854e-47
"R.parsORB","R.rosmidF",0.274633477029333,1.67288258919064e-20
"R.parsORB","R.preCEN",0.255059514537679,8.2424569678078e-18
"R.parsORB","L.latorbF",0.369420918452602,6.24174537749752e-37
"R.parsORB","L.transT",0.272187985782688,3.73397513031397e-20
"R.parsORB","L.posCG",-0.0663301526233274,0.0277469280076586
"R.parsORB","R.transT",0.300896656164149,1.7821911162403e-24
"R.parsORB","R.preCN",0.091288857310746,0.00242957921903802
"R.parsORB","L.preCEN",0.249264658482031,4.68350931595135e-17
"R.parsORB","L.infP",0.213980612194848,7.21167953643323e-13
"R.parsORB","R.infP",0.208336236803243,2.91492762465317e-12
"R.parsORB","R.INS",0.134435588593658,7.60487589796681e-06
"R.parsORB","R.caumidF",0.23591411267568,2.16934353948468e-15
"R.parsORB","R.paraCEN",0.17550743811849,4.55909036036248e-09
"R.parsORB","L.infT",0.320367943481712,1.06826946982591e-27
"R.parsORB","R.supF",0.252732202816338,1.66492146151605e-17
"R.parsORB","L.paraH",0.199228167563486,2.55594709943031e-11
"R.parsORB","L.midT",0.331514530968942,1.18527124379449e-29
"R.parsORB","R.paraH",0.262263588329307,8.93497985350874e-19
"R.parsORB","L.isthCG",-0.0745142661792124,0.0133942193124524
"R.parsORB","L.parsTRI",0.391756949910929,1.05842708058071e-41
"R.parsORB","R.infT",0.288320600095103,1.60566911702911e-22
"R.parsORB","R.latorbF",0.427652407300945,3.52901755976574e-50
"R.parsORB","L.rosmidF",0.284729978985115,5.57110516304578e-22
"R.parsORB","L.supF",0.284170914533939,6.75087735755192e-22
"R.parsORB","R.cauantCG",-0.0326588855853292,0.278931483678434
"R.parsORB","L.LG",0.0880980063004024,0.00343817555595799
"R.parsORB","R.isthCG",-0.0545638235134071,0.0703281412234626
"R.parsORB","L.medorbF",0.265970720534992,2.77190995491689e-19
"R.parsORB","R.SM",0.278174113150124,5.15573964634845e-21
"R.parsORB","L.supT",0.392141924765645,8.69258124788385e-42
"R.parsORB","R.midT",0.321690537749557,6.32387946748795e-28
"R.parsORB","L.postCEN",0.125993104544182,2.75792263131635e-05
"R.parsORB","R.latO",0.000651741080746731,0.982766182716702
"R.parsORB","R.parOP",0.367335645798872,1.66700909264234e-36
"R.parsORB","L.paraCEN",0.157820658337704,1.41131164335635e-07
"R.parsORB","R.parsTRI",0.450920964167343,3.00822745475134e-56
"R.parsORB","R.medorbF",0.214314363294212,6.63180501989145e-13
"R.parsORB","R.CN",-0.00481785936058655,0.873131369912039
"R.parsORB","L.INS",0.17596663965666,4.15009583457199e-09
"L.preCN","L.cauantCG",0.273754502629656,2.23464485078051e-20
"L.preCN","L.parsORB",0.177705377882905,2.90079170568475e-09
"L.preCN","R.parsORB",0.136888235591484,5.15333032350282e-06
"L.preCN","L.preCN",0.562885513537184,5.0132084138169e-93
"L.preCN","R.ENT",-0.0608005755552318,0.0436936422115924
"L.preCN","L.CN",0.42463991683995,1.99243712225631e-49
"L.preCN","R.periCAL",0.270196247371803,7.13768244896581e-20
"L.preCN","L.rosantCG",0.217643100961707,2.8526323294432e-13
"L.preCN","L.caumidF",0.185808526870104,5.2133308001295e-10
"L.preCN","R.rosantCG",0.264303042115258,4.70372010551091e-19
"L.preCN","L.latO",0.37673217544706,1.88143006445124e-38
"L.preCN","L.FUS",0.290320612110519,7.96717699926139e-23
"L.preCN","R.LG",0.331548620409894,1.16872813849509e-29
"L.preCN","R.postCEN",0.278055530789303,5.36453870889631e-21
"L.preCN","L.periCAL",0.28726726554749,2.31721065523554e-22
"L.preCN","L.SM",0.282506811449706,1.19273641975268e-21
"L.preCN","L.parOP",0.208702718102526,2.6653966975893e-12
"L.preCN","L.supP",0.478544438156495,4.31522584168138e-64
"L.preCN","R.posCG",0.363067076046178,1.21758537188246e-35
"L.preCN","L.ENT",-0.0304211620611308,0.313213957564895
"L.preCN","R.FUS",0.198954866341377,2.72373876513695e-11
"L.preCN","R.supP",0.410838166888601,4.44004139939826e-46
"L.preCN","R.supT",0.0841941425227432,0.00518252632304727
"L.preCN","R.rosmidF",0.242541995716709,3.32600641604609e-16
"L.preCN","R.preCEN",0.177063393217458,3.31227795974712e-09
"L.preCN","L.latorbF",0.256831807673106,4.80227441571344e-18
"L.preCN","L.transT",0.26233519731199,8.73676536000547e-19
"L.preCN","L.posCG",0.43300050041344,1.56389025328166e-51
"L.preCN","R.transT",0.20116238298651,1.62553045601261e-11
"L.preCN","R.preCN",0.47070320219432,8.60945409400752e-62
"L.preCN","L.preCEN",0.202319754711809,1.23718403509082e-11
"L.preCN","L.infP",0.407423799409655,2.82979085441052e-45
"L.preCN","R.infP",0.343821593882635,6.5975952921436e-32
"L.preCN","R.INS",0.260763914274856,1.42708270792332e-18
"L.preCN","R.caumidF",0.210115116631045,1.88495768484811e-12
"L.preCN","R.paraCEN",0.374884881661833,4.59661320785382e-38
"L.preCN","L.infT",0.204524598609717,7.32154259886796e-12
"L.preCN","R.supF",0.267840998593711,1.52502379135791e-19
"L.preCN","L.paraH",0.157114344022783,1.60650935741102e-07
"L.preCN","L.midT",0.0546662035219663,0.0698021728018078
"L.preCN","R.paraH",0.165401231386405,3.3888498323374e-08
"L.preCN","L.isthCG",0.39040855454895,2.10512617292316e-41
"L.preCN","L.parsTRI",0.183854788018524,7.94219097170116e-10
"L.preCN","R.infT",0.124035139669975,3.67653423926507e-05
"L.preCN","R.latorbF",0.242502286760569,3.36415367211237e-16
"L.preCN","L.rosmidF",0.226102083117362,3.14098353689625e-14
"L.preCN","L.supF",0.251386142593409,2.49215741441979e-17
"L.preCN","R.cauantCG",0.278639672779518,4.41081668035107e-21
"L.preCN","L.LG",0.354482404000972,6.06740888161764e-34
"L.preCN","R.isthCG",0.39645811691632,9.3889702331839e-43
"L.preCN","L.medorbF",0.199612686164647,2.33686886042903e-11
"L.preCN","R.SM",0.221531416176039,1.04629261472826e-13
"L.preCN","L.supT",0.0714303182610774,0.017764600991667
"L.preCN","R.midT",0.0720848119065022,0.0167447531985405
"L.preCN","L.postCEN",0.330994008555699,1.46868781550823e-29
"L.preCN","R.latO",0.319684297765465,1.39936603579829e-27
"L.preCN","R.parOP",0.167596823658762,2.21409800512469e-08
"L.preCN","L.paraCEN",0.421057764838386,1.52544544972064e-48
"L.preCN","R.parsTRI",0.158775025846752,1.18360835965102e-07
"L.preCN","R.medorbF",0.271578647742698,4.55518190239859e-20
"L.preCN","R.CN",0.402390432922561,4.17444022017783e-44
"L.preCN","L.INS",0.260719582730173,1.44690692966764e-18
"R.ENT","L.cauantCG",0.0269514684439889,0.371626006781423
"R.ENT","L.parsORB",-0.121954719522651,4.96699536341759e-05
"R.ENT","R.parsORB",-0.127745353692335,2.12463441133175e-05
"R.ENT","L.preCN",-0.11492938191416,0.000132455789121425
"R.ENT","R.ENT",0.42570046635864,1.08544047488078e-49
"R.ENT","L.CN",-0.0882875525288145,0.00336898860115733
"R.ENT","R.periCAL",-0.0514098959681056,0.0881873290261406
"R.ENT","L.rosantCG",0.217008721015648,3.35376981404744e-13
"R.ENT","L.caumidF",-0.178246932204566,2.59271182773307e-09
"R.ENT","R.rosantCG",0.119367068494714,7.17335887605329e-05
"R.ENT","L.latO",0.0181506946408726,0.547420826939494
"R.ENT","L.FUS",0.293811700520235,2.31299067559433e-23
"R.ENT","R.LG",0.017808165809545,0.555006941225217
"R.ENT","R.postCEN",-0.0313188582346626,0.299141904705704
"R.ENT","L.periCAL",-0.114240119257751,0.000145413142034543
"R.ENT","L.SM",-0.0969167053923371,0.00128300938803258
"R.ENT","L.parOP",-0.0740161183091161,0.0140284980268402
"R.ENT","L.supP",-0.138152609102667,4.20553149087256e-06
"R.ENT","R.posCG",-0.0459680853462874,0.127420062480661
"R.ENT","L.ENT",0.393445133149984,4.45483072675176e-42
"R.ENT","R.FUS",0.321925613169303,5.75962159611797e-28
"R.ENT","R.supP",-0.0947331558646244,0.00165022699502517
"R.ENT","R.supT",0.226762351909387,2.63406631416586e-14
"R.ENT","R.rosmidF",-0.322978711119613,3.78544605354145e-28
"R.ENT","R.preCEN",-0.00240616613652267,0.936436734368111
"R.ENT","L.latorbF",-0.0533081266236667,0.0770471960858941
"R.ENT","L.transT",0.0906387465925896,0.00260994080175464
"R.ENT","L.posCG",-0.0764112263462479,0.0112045433131558
"R.ENT","R.transT",0.0679870028888212,0.0240739775599748
"R.ENT","R.preCN",-0.0990260152062152,0.00100126425589057
"R.ENT","L.preCEN",-0.00913918408236007,0.761956889240582
"R.ENT","L.infP",-0.085848046904666,0.00436396223309034
"R.ENT","R.infP",-0.00860164134497371,0.775571452807848
"R.ENT","R.INS",0.297705161972697,5.70521722130291e-24
"R.ENT","R.caumidF",-0.16058888421695,8.44729190811762e-08
"R.ENT","R.paraCEN",-0.139634776820171,3.30641225779423e-06
"R.ENT","L.infT",0.228084231296538,1.84872619664004e-14
"R.ENT","R.supF",-0.251139696768282,2.68248088511312e-17
"R.ENT","L.paraH",0.233882511757107,3.81104011968573e-15
"R.ENT","L.midT",0.1533809930168,3.15589543782928e-07
"R.ENT","R.paraH",0.300709543447557,1.90877863369059e-24
"R.ENT","L.isthCG",0.00557914090962897,0.853296165976454
"R.ENT","L.parsTRI",-0.186715318180385,4.28142110572589e-10
"R.ENT","R.infT",0.303430978063697,7.00095208556874e-25
"R.ENT","R.latorbF",-0.0672681558954384,0.0256123654843595
"R.ENT","L.rosmidF",-0.298765179565274,3.88275619412265e-24
"R.ENT","L.supF",-0.224576596185054,4.7071141183012e-14
"R.ENT","R.cauantCG",-0.0195911537290081,0.516090045246063
"R.ENT","L.LG",-0.031899332387153,0.290270340290314
"R.ENT","R.isthCG",-0.00672388513621064,0.823647215893208
"R.ENT","L.medorbF",-0.0741036956869299,0.0139151059217866
"R.ENT","R.SM",0.0218907176224073,0.468068836247541
"R.ENT","L.supT",0.241450426941255,4.54722824085473e-16
"R.ENT","R.midT",0.210841527911405,1.57580171495968e-12
"R.ENT","L.postCEN",-0.0862832783780195,0.00416896715606403
"R.ENT","R.latO",0.0665159424094934,0.027312368380979
"R.ENT","R.parOP",-0.014639475969944,0.62751224239152
"R.ENT","L.paraCEN",-0.187977720444982,3.24944029824227e-10
"R.ENT","R.parsTRI",-0.155848443825258,2.02345264147203e-07
"R.ENT","R.medorbF",-0.169821030546608,1.43035236518923e-08
"R.ENT","R.CN",-0.0218473503078455,0.468951001781499
"R.ENT","L.INS",0.248994868760554,5.07261038425061e-17
"L.CN","L.cauantCG",0.223599825382772,6.08945524951009e-14
"L.CN","L.parsORB",0.0337415809780924,0.263295054497443
"L.CN","R.parsORB",-0.0167583273751136,0.578572688564862
"L.CN","L.preCN",0.446858479033173,3.73462251500141e-55
"L.CN","R.ENT",-0.0752372198614892,0.0125187339518142
"L.CN","L.CN",0.546332425700832,1.10223493172932e-86
"L.CN","R.periCAL",0.394428798111653,2.68431981385969e-42
"L.CN","L.rosantCG",0.152065318815533,3.98850700632183e-07
"L.CN","L.caumidF",0.0389575192856503,0.196466636545983
"L.CN","R.rosantCG",0.156265168039186,1.87582835496875e-07
"L.CN","L.latO",0.472150252689689,3.27353795713645e-62
"L.CN","L.FUS",0.242316230052588,3.54870676747771e-16
"L.CN","R.LG",0.376899053912804,1.73507486454971e-38
"L.CN","R.postCEN",0.250242455363814,3.50433196301584e-17
"L.CN","L.periCAL",0.452831261107075,9.09433821708944e-57
"L.CN","L.SM",0.165874214971983,3.0933989885779e-08
"L.CN","L.parOP",0.110996310835652,0.000224052663285609
"L.CN","L.supP",0.407312770953103,3.00437552900423e-45
"L.CN","R.posCG",0.21529891012391,5.17475168264239e-13
"L.CN","L.ENT",-0.0125039628674647,0.678549774791269
"L.CN","R.FUS",0.159834862475078,9.72330628509386e-08
"L.CN","R.supP",0.322365005381079,4.83536319464793e-28
"L.CN","R.supT",0.061886338840839,0.0400622997107942
"L.CN","R.rosmidF",0.0761595060496542,0.0114755374702172
"L.CN","R.preCEN",0.11369553309954,0.000156483980160083
"L.CN","L.latorbF",0.151054214514381,4.76841621519863e-07
"L.CN","L.transT",0.276988246390446,7.66183211706488e-21
"L.CN","L.posCG",0.323568832014053,2.98991374729586e-28
"L.CN","R.transT",0.206049500825343,5.07595014940374e-12
"L.CN","R.preCN",0.345440951527621,3.27422168206723e-32
"L.CN","L.preCEN",0.154810739666808,2.44141970012394e-07
"L.CN","L.infP",0.321560262240089,6.65981690266871e-28
"L.CN","R.infP",0.238506283099855,1.04892859875441e-15
"L.CN","R.INS",0.194669866456741,7.29391401906433e-11
"L.CN","R.caumidF",0.0689060420760413,0.0222241852958681
"L.CN","R.paraCEN",0.280307728025512,2.51554024727225e-21
"L.CN","L.infT",0.167532243027721,2.24217211927432e-08
"L.CN","R.supF",0.0710779376429522,0.01833588503504
"L.CN","L.paraH",0.170241422809015,1.31612157019798e-08
"L.CN","L.midT",0.0563553427769027,0.061580221608486
"L.CN","R.paraH",0.161456722022284,7.17869727467934e-08
"L.CN","L.isthCG",0.324501687428441,2.05697580558184e-28
"L.CN","L.parsTRI",0.0668923449102512,0.0264499172177109
"L.CN","R.infT",0.0789140027170998,0.00880374890488184
"L.CN","R.latorbF",0.0846028036650578,0.00496830813169964
"L.CN","L.rosmidF",0.0680212917272957,0.024002640037055
"L.CN","L.supF",0.0708006337464005,0.0187966825789713
"L.CN","R.cauantCG",0.185172124862387,5.9825328070627e-10
"L.CN","L.LG",0.443590926851844,2.76335026169848e-54
"L.CN","R.isthCG",0.31258745205542,2.21444948688767e-26
"L.CN","L.medorbF",0.126238077905688,2.65969061047548e-05
"L.CN","R.SM",0.121544945264488,5.26726113383641e-05
"L.CN","L.supT",0.0834159365182358,0.00561364151854534
"L.CN","R.midT",0.0187849951341191,0.533509392553462
"L.CN","L.postCEN",0.311454776321553,3.41736258426966e-26
"L.CN","R.latO",0.360522822902867,3.92669456213249e-35
"L.CN","R.parOP",0.0580385806144066,0.0542003214687355
"L.CN","L.paraCEN",0.350714132687864,3.24928385834577e-33
"L.CN","R.parsTRI",0.0282340204278722,0.349291480575344
"L.CN","R.medorbF",0.131203273309531,1.25708516820196e-05
"L.CN","R.CN",0.466142872641923,1.75933895680112e-60
"L.CN","L.INS",0.198154162910926,3.27973846062341e-11
"R.periCAL","L.cauantCG",0.144168000573214,1.56021601540901e-06
"R.periCAL","L.parsORB",0.0236311737945686,0.433432040152159
"R.periCAL","R.parsORB",-0.0258431206639769,0.391622938359747
"R.periCAL","L.preCN",0.321634277076668,6.46684683064279e-28
"R.periCAL","R.ENT",0.0306590654747227,0.309442940250032
"R.periCAL","L.CN",0.425646517693419,1.11955853957392e-49
"R.periCAL","R.periCAL",0.396388750270269,9.73341029211091e-43
"R.periCAL","L.rosantCG",0.108193260174026,0.000322553500039688
"R.periCAL","L.caumidF",-0.000890561723103966,0.976452697214654
"R.periCAL","R.rosantCG",0.0664769345248477,0.0274031176910128
"R.periCAL","L.latO",0.439880860433696,2.61161730517925e-53
"R.periCAL","L.FUS",0.21379420141077,7.55689588866429e-13
"R.periCAL","R.LG",0.397857470383793,4.53072746479032e-43
"R.periCAL","R.postCEN",0.161583446143296,7.00961695919344e-08
"R.periCAL","L.periCAL",0.449694886361246,6.45695030186777e-56
"R.periCAL","L.SM",0.110259267709117,0.000246784903989458
"R.periCAL","L.parOP",0.0698721491949187,0.0204139784844562
"R.periCAL","L.supP",0.306331952677526,2.37520013361512e-25
"R.periCAL","R.posCG",0.172893914261343,7.74731248951373e-09
"R.periCAL","L.ENT",0.030539531656273,0.31133391553059
"R.periCAL","R.FUS",0.195029649009696,6.72067874544653e-11
"R.periCAL","R.supP",0.233975590107244,3.71434340238239e-15
"R.periCAL","R.supT",0.0547852304299023,0.0691947406259354
"R.periCAL","R.rosmidF",-0.0267439435030926,0.375321278177425
"R.periCAL","R.preCEN",0.0223787706542833,0.458204546264283
"R.periCAL","L.latorbF",0.135479448035427,6.44941543528408e-06
"R.periCAL","L.transT",0.262844390999848,7.4470649302685e-19
"R.periCAL","L.posCG",0.197302432173855,3.99284873222842e-11
"R.periCAL","R.transT",0.186237691342756,4.74996346065341e-10
"R.periCAL","R.preCN",0.279675966422634,3.11313654545899e-21
"R.periCAL","L.preCEN",0.0750899344386226,0.0126928748480997
"R.periCAL","L.infP",0.263557582283277,5.95080391375811e-19
"R.periCAL","R.infP",0.190545283563455,1.84345689425594e-10
"R.periCAL","R.INS",0.148310874029087,7.69609434918936e-07
"R.periCAL","R.caumidF",-0.0311144590907843,0.302308369971839
"R.periCAL","R.paraCEN",0.201024021530152,1.67927296321901e-11
"R.periCAL","L.infT",0.154412361491189,2.62305272684314e-07
"R.periCAL","R.supF",-0.00744845161401988,0.80500717969519
"R.periCAL","L.paraH",0.139595398077822,3.32771635609918e-06
"R.periCAL","L.midT",0.0664482156160331,0.0274700962968902
"R.periCAL","R.paraH",0.158195630950603,1.31720608501029e-07
"R.periCAL","L.isthCG",0.248863466732868,5.27348629662905e-17
"R.periCAL","L.parsTRI",0.0550210822180894,0.0680039210132808
"R.periCAL","R.infT",0.118432612573489,8.17682598556013e-05
"R.periCAL","R.latorbF",0.0618868427498505,0.0400606756351786
"R.periCAL","L.rosmidF",0.025997817783048,0.388793359848066
"R.periCAL","L.supF",0.029193423993545,0.333153121575327
"R.periCAL","R.cauantCG",0.0971035564595065,0.00125537588794498
"R.periCAL","L.LG",0.453426343144542,6.2553528399091e-57
"R.periCAL","R.isthCG",0.262834805508536,7.46951375263759e-19
"R.periCAL","L.medorbF",0.113551728748463,0.000159536909388532
"R.periCAL","R.SM",0.0739339079833896,0.014135681370022
"R.periCAL","L.supT",0.0836626466246008,0.00547359238228421
"R.periCAL","R.midT",0.0253710543895758,0.400334389513471
"R.periCAL","L.postCEN",0.215483072942921,4.93944092750883e-13
"R.periCAL","R.latO",0.371318521359749,2.53707369272486e-37
"R.periCAL","R.parOP",-0.0047509869610223,0.874877731080556
"R.periCAL","L.paraCEN",0.245113290728068,1.58241553357214e-16
